speaker,text,cmd
WAIT,"Dos niveles bajo la ciudad.","WAIT=BEAT;BG=Scene_Game3_01"
WAIT,"Boca de metro clausurada. Neones muertos. Un cartel torcido: HUMAN ONLY.","WAIT=CLICK"

ACT,"(Golpeas la chapa. Tres veces. Pausa. Una más.)","ACT=KNOCK;WAIT=BEAT"
WAIT,"Un pestillo suena. No abren del todo. Una rendija. Un ojo. Te pesan.","WAIT=BEAT"

ANTIROBOTS,"¿Nombre?","R=ANTIROBOTS:serio_mask"
LOGAN,"Logan.","L=LOGAN:serio2"
ANTIROBOTS,"¿Vienes solo?","R=ANTIROBOTS:serio_mask"
LOGAN,"Eso depende de cómo cuentes los fantasmas.","L=LOGAN:ironico"
ANTIROBOTS,"Aquí abajo no queremos poesía.","R=ANTIROBOTS:amenaza_sutil_mask"
LOGAN,"Tranquilo. Yo tampoco.","L=LOGAN:cansado"

WAIT,"El metal chirría. Te dejan pasar. No es una bienvenida. Es una comprobación.","WAIT=BEAT;BG=Scene_Game3_02;RAIN=OFF;FADE=1"
WAIT,"Bajas. Humedad. Cableado robado. Un vagón oxidado haciendo de sala de guerra.","WAIT=CLICK"

ANTIROBOTS,"Sin implantes visibles…","R=ANTIROBOTS:observando_mask"
ANTIROBOTS,"O eres valiente… o eres idiota.","R=ANTIROBOTS:serio_mask"
LOGAN,"Hoy me pilla entre medias.","L=LOGAN:serio2"

WAIT,"Al fondo, una silueta. No hace ruido al andar. Eso es lo que más molesta.","WAIT=BEAT"

TRUE-FELLA,"¿Así que tú eres Logan.","R=TRUE-FELLA:mask_on_neutral"
TRUE-FELLA,"El que cree que un artefacto le va a comprar una salida.","R=TRUE-FELLA:mask_on_serio"
LOGAN,"No busco una salida.","L=LOGAN:serio2"
LOGAN,"Busco dejar de deberle la vida a gente que ni me mira a la cara.","L=LOGAN:pensativo"
TRUE-FELLA,"Bien.","R=TRUE-FELLA:mask_on_reflexivo"
TRUE-FELLA,"Porque salidas… aquí no hay.","R=TRUE-FELLA:mask_on_serio"
TRUE-FELLA,"Hay jaulas con puertas distintas.","R=TRUE-FELLA:mask_on_reflexivo"

LOGAN,"Me han dicho que odias a los robots.","L=LOGAN:serio2"
TRUE-FELLA,"No.","R=TRUE-FELLA:mask_on_serio"
TRUE-FELLA,"Los robots solo obedecen.","R=TRUE-FELLA:mask_on_reflexivo"

TRUE-FELLA,"A quien odio es al tipo que se arranca el alma…","R=TRUE-FELLA:mask_off_serio"
TRUE-FELLA,"…y lo llama mejora.","R=TRUE-FELLA:mask_off_amenaza_sutil"

WAIT,"Te hace una seña. Los demás no se mueven. Te están midiendo todo el rato.","WAIT=BEAT;BG=Scene_Game3_03"
WAIT,"Sala fría. Luz cenital. Mesa metálica. En una pantalla: un plano de AV Games parpadeando.","WAIT=CLICK"

TRUE-FELLA,"No me importa tu deuda.","R=TRUE-FELLA:mask_off_serio"
TRUE-FELLA,"Me importa qué vas a hacer cuando te ofrezcan dejar de sentir.","R=TRUE-FELLA:mask_off_reflexivo"
LOGAN,"No he venido a confesarme.","L=LOGAN:serio2"
TRUE-FELLA,"No. Has venido a negociar.","R=TRUE-FELLA:mask_off_neutral"
TRUE-FELLA,"Y yo no regalo información a un desconocido…","R=TRUE-FELLA:mask_off_serio"
TRUE-FELLA,"…por muy “natural” que venga envuelto.","R=TRUE-FELLA:mask_off_leve_sonrisa_amarga"

LOGAN,"¿Qué quieres?","L=LOGAN:pensativo"
TRUE-FELLA,"Ver cómo eliges cuando no hay respuesta buena.","R=TRUE-FELLA:mask_off_serio"
TRUE-FELLA,"Las cartas sirven para eso.","R=TRUE-FELLA:mask_off_reflexivo"

ACT,"(True-Fella despliega el tablero.)","ACT=CARDGAME_START;WAIT=FINAL_BEAT"
